children,days_employed,dob_years,education,education_id,family_status,family_status_id,gender,income_type,debt,total_income,purpose
1,-8437.673027760233,42,higher,0,married,0,F,employee,0,253875.6394525987,home purchase
1,-4024.803753850451,36,average,1,married,0,F,employee,0,112080.01410244204,purchasing a car
0,-5623.422610230956,33,Average,1,married,0,M,employee,0,145885.95229686378,home purchase
3,-4124.747206540018,32,average,1,married,0,M,employee,0,267628.5503294142,additional education
0,340266.07204682194,53,average,1,civil marriage,1,F,pensioner,0,158616.07787006293,get married
0,-926.1858308789184,27,higher,0,civil marriage,1,M,companion,0,255763.56541904988,home purchase
0,-2879.202052139952,43,higher,0,married,0,F,companion,0,240525.9719203061,housing transactions
0,-152.7795691752705,50,AVERAGE,1,married,0,M,employee,0,135823.93419727974,education
2,-6929.865298973741,35,HIGHER,0,civil marriage,1,F,employee,0,95856.83242386371,for a wedding
0,-2188.7564450779378,41,average,1,married,0,M,employee,0,144425.93827708642,buying a home for a family
2,-4171.483646903305,36,higher,0,married,0,M,companion,0,113943.4914603043,buying a property
0,-792.7018870609315,40,average,1,married,0,F,employee,0,77069.23427130934,purchase of commercial real estate
0,,65,average,1,civil marriage,1,M,pensioner,0,,get married
0,-1846.6419410560736,54,incomplete higher education,2,married,0,F,employee,0,130458.22885695784,purchasing a car
0,-1844.9561821875543,56,higher,0,civil marriage,1,F,companion,1,165127.9117721805,purchase of residential property
1,-972.3644189900732,26,average,1,married,0,F,employee,0,116820.90444993383,construction of your own real estate
0,-1719.9342261530542,35,average,1,married,0,F,employee,0,289202.7042292056,real estate
0,-2369.999720209008,33,higher,0,civil marriage,1,M,employee,0,90410.58674466488,real estate construction
0,400281.1369125588,53,average,1,widower/widow,2,F,pensioner,0,56823.7772431838,to buy a used car
0,-10038.818548915877,48,AVERAGE,1,divorced,3,F,employee,0,242831.107981772,to buy your car
1,-1311.6041664289485,36,average,1,married,0,M,employee,0,209552.6445776156,real estate
1,-253.6851657840249,33,average,1,civil marriage,1,F,employee,0,131812.20390893804,purchasing a car
1,-1766.6441376815046,24,average,1,civil marriage,1,F,employee,0,149681.1407311689,to buy a used car
0,-272.9813850334044,21,higher,0,civil marriage,1,M,employee,0,128265.72087100228,get married
1,338551.95291136915,57,average,1,Single/not married,4,F,pensioner,0,290547.2359974949,commercial real estate transactions
0,363548.4893483957,67,average,1,married,0,M,pensioner,0,55112.757731719255,buying a property
0,,41,average,1,married,0,M,civil servant,0,,education
0,-529.1916346594236,28,higher,0,married,0,M,employee,0,308848.9836905699,construction of your own real estate
1,-717.2743239418727,26,higher,0,married,0,F,employee,0,187863.2373059588,construction of your own real estate
0,,63,average,1,Single/not married,4,F,pensioner,0,,residential real estate construction
1,335581.6685149753,62,average,1,married,0,F,pensioner,0,171456.06799338743,commercial real estate transactions
0,-1682.08343808475,47,initial,3,married,0,F,employee,0,275485.684538057,housing
0,-4649.910831728614,34,AVERAGE,1,civil marriage,1,F,employee,1,139057.46420747985,for a wedding
0,-1548.63754364046,48,average,1,married,0,F,companion,0,157245.78623254097,home purchase
0,-4488.067031277062,35,average,1,married,0,F,employee,0,104660.44920263148,operations with your real estate
0,394021.0721837952,68,average,1,civil marriage,1,M,pensioner,0,77805.67743642293,for a wedding
0,-176.21668833712155,33,average,1,Single/not married,4,M,employee,0,138830.65073407194,cars
0,-6448.810859676204,43,HIGHER,0,civil marriage,1,F,companion,0,154128.87867164516,purchasing a car
0,-597.8818273051091,25,higher,0,Single/not married,4,M,employee,1,192247.29863931693,education
0,-650.5877964026586,31,higher,0,civil marriage,1,F,companion,0,754240.7972479195,engage in education
0,-1030.3626056014652,30,average,1,Single/not married,4,M,companion,0,142865.57914588266,buying a property
0,,50,average,1,married,0,F,civil servant,0,,used car deal
0,-1257.4961901986044,20,incomplete higher education,2,Single/not married,4,F,employee,0,82065.08902109257,getting an education
0,-4375.681384360526,43,incomplete higher education,2,divorced,3,F,companion,0,272957.1335085173,purchasing a car
1,-1362.0417275002387,26,AVERAGE,1,married,0,F,employee,0,100780.496748708,to buy your car
1,-1039.4517405766287,49,average,1,Single/not married,4,F,employee,0,106385.91972360344,engage in education
2,-2262.712303593806,37,average,1,married,0,F,companion,0,182682.4598984296,used car deal
1,-2689.1372742032745,33,higher,0,civil marriage,1,M,civil servant,0,356277.90934547666,for a wedding
0,-3341.067886360064,45,average,1,married,0,F,employee,0,162065.5164499865,construction of your own real estate
0,-1181.443228272809,54,average,1,married,0,F,employee,0,44591.80688753629,automobile
0,353731.4323382981,63,average,1,married,0,F,pensioner,0,92342.73061169684,cars
1,-6953.631654563154,50,higher,0,civil marriage,1,F,employee,0,203199.6835687721,wedding
1,-3554.6715257531628,28,average,1,married,0,F,employee,0,52746.4223236867,obtaining additional education
0,-4219.88338560805,61,AVERAGE,1,divorced,3,F,companion,0,311453.5995296128,buying your own home
0,-3480.072792773725,27,higher,0,civil marriage,1,F,employee,0,92238.81311104933,cars
0,,54,average,1,civil marriage,1,F,pensioner,1,,get married
0,370145.0872371805,64,average,1,widower/widow,2,F,pensioner,0,149141.04353267475,education
0,-2424.809748937992,44,average,1,widower/widow,2,F,employee,0,58616.40596004223,education
0,-335.31863038428764,36,higher,0,married,0,M,employee,0,414404.2028972774,real estate
0,-4341.7867754100425,53,average,1,civil marriage,1,F,companion,0,261369.5064850721,real estate transactions
1,-2534.462390327333,48,average,1,married,0,M,employee,0,129902.28373544553,engage in education
0,-2986.20212028634,42,average,1,civil marriage,1,F,employee,0,173987.4729290881,buying a property
0,-7845.6492334208915,48,Higher,0,Single/not married,4,M,civil servant,0,435388.1952724901,obtaining higher education
0,-1182.5477437277514,45,average,1,married,0,F,employee,0,110004.35982164997,housing transactions
0,-118.89141142450092,35,incomplete higher education,2,Single/not married,4,M,employee,0,282900.4713076374,used car deal
0,,21,average,1,Single/not married,4,M,companion,0,,commercial real estate transactions
0,-916.4288292557608,28,average,1,married,0,M,employee,0,145214.52360210626,engage in education
0,,52,higher,0,married,0,F,pensioner,0,,buying a home for a family
2,-2152.475526346754,46,higher,0,married,0,M,companion,0,592071.4645709557,commercial real estate transactions
0,-779.2284491479346,23,average,1,Single/not married,4,F,employee,0,91247.05816440449,buying your own home
1,-2802.2266713967297,28,HIGHER,0,married,0,M,civil servant,0,207561.4669982881,purchase of commercial real estate
0,338113.5298924872,62,average,1,married,0,F,pensioner,0,43929.69639696845,cars
1,,32,higher,0,married,0,M,civil servant,0,,commercial real estate transactions
0,-1631.9394026219366,40,average,1,civil marriage,1,M,employee,0,97946.84101113868,engage in education
1,-5110.54370925475,45,average,1,married,0,F,employee,0,81142.78348993426,buying a home for a family
1,-2953.151947577933,38,average,1,married,0,M,employee,1,81935.38150009303,real estate transactions
1,-2252.1927219941026,44,higher,0,married,0,M,employee,0,148992.03001020846,to buy a used car
0,-726.9437706256638,43,higher,0,Single/not married,4,F,employee,0,140843.97435987124,your car
0,359722.94507371227,61,higher,0,married,0,M,pensioner,0,175127.64600043945,car deal
0,-3278.296751179717,27,average,1,Single/not married,4,M,companion,0,253681.70989067023,cars
0,-127.33494240597255,25,average,1,Single/not married,4,F,companion,0,82740.41289886518,car deal
0,-204.6731655316556,33,Average,1,married,0,F,employee,0,110833.2153688148,specialized education
2,,50,higher,0,married,0,F,employee,0,,housing
0,,52,average,1,married,0,M,employee,0,,housing
0,-7125.21502761462,53,average,1,married,0,F,civil servant,0,255909.1728015964,operations with your real estate
0,-275.99384748839213,30,average,1,married,0,M,employee,0,54123.55781196013,higher education
0,383933.5496643384,64,average,1,civil marriage,1,M,pensioner,0,243033.4532808924,wedding
0,337659.5350035947,53,average,1,married,0,F,pensioner,0,74363.8565543125,buying a rental property
0,373129.7896543124,63,higher,0,civil marriage,1,F,pensioner,0,206872.3500608577,for a wedding
0,-72.62578520446468,42,average,1,civil marriage,1,F,companion,0,49463.91938004758,used car deal
2,,35,higher,0,married,0,F,employee,0,,housing transactions
2,-5010.9974361252725,39,average,1,married,0,F,employee,0,155886.85657536547,buying a property
1,-1669.2796814947967,40,higher,0,civil marriage,1,F,employee,0,191397.96274969063,get married
1,-1446.6225418245374,32,average,1,married,0,M,employee,1,331139.5902983196,car deal
1,,34,higher,0,civil marriage,1,F,companion,0,,for a wedding
0,-541.8322411633181,51,higher,0,married,0,F,employee,0,94187.8780821613,automobile
0,,44,AVERAGE,1,married,0,F,employee,0,,purchase of residential property
0,,47,higher,0,married,0,F,employee,0,,specialized education
0,364906.2057355492,54,higher,0,married,0,F,pensioner,0,199707.2985241309,buying a rental property
0,346541.6188949218,0,Average,1,married,0,F,pensioner,0,71291.52249055503,automobile
0,-605.0264409707586,49,AVERAGE,1,widower/widow,2,F,employee,1,176384.8825358073,real estate transactions
0,391558.9618490568,65,average,1,married,0,F,pensioner,0,157970.48639320125,to buy your car
0,-1377.4472350796152,51,average,1,civil marriage,1,F,companion,0,126706.59851264796,to buy a used car
1,-888.2833470851367,39,AVERAGE,1,Single/not married,4,F,employee,0,142231.48942162484,real estate construction
0,366323.6494289441,59,average,1,Single/not married,4,F,pensioner,0,163581.95007326518,buying a rental property
0,-2098.6262962257147,62,AVERAGE,1,widower/widow,2,F,employee,0,76884.18758751624,construction of your own real estate
1,-300.64259328925505,29,average,1,civil marriage,1,F,employee,0,171871.73288718596,education
0,-1493.4491168729676,24,higher,0,civil marriage,1,F,companion,0,202988.76912028992,construction of your own real estate
2,-753.4670420858772,33,higher,0,civil marriage,1,F,employee,0,180051.75197761177,used car deal
0,-2147.472607702785,59,average,1,married,0,F,employee,0,107643.67560995698,education
0,-413.9826020927449,41,average,1,married,0,M,civil servant,0,118551.6078291152,home purchase
0,-12930.541677797675,61,average,1,Single/not married,4,F,companion,0,173896.61827401767,real estate
1,-1841.3580944791947,28,higher,0,married,0,M,employee,0,280934.30586873967,real estate
0,-6083.9947296293385,52,average,1,married,0,F,civil servant,0,120655.0982583378,education
0,-1599.8791614370475,26,higher,0,married,0,F,employee,1,143471.7122774315,operations with your real estate
1,-2523.847898226973,38,higher,0,married,0,F,civil servant,0,97848.2766110214,commercial real estate transactions
1,-540.0384252136863,50,average,1,married,0,M,employee,0,83366.31969915295,purchase of residential property
0,-3817.113294534001,41,average,1,divorced,3,F,employee,0,178975.13357434978,to buy a car
2,-2774.655137092032,33,average,1,civil marriage,1,M,companion,0,113572.21337646277,for a wedding
0,382189.12905557256,60,average,1,Single/not married,4,F,pensioner,0,31534.750497334928,purchase of commercial real estate
0,,46,average,1,married,0,F,employee,0,,higher education
0,,29,higher,0,married,0,F,companion,0,,automobile
0,-171.1624207214407,55,HIGHER,0,married,0,F,companion,0,103628.07085383665,cars
2,-5718.70890108714,39,Average,1,married,0,M,employee,0,83892.81598726273,buying a rental property
0,-1080.514782425162,38,average,1,married,0,F,employee,1,175046.42251455868,commercial real estate transactions
0,-191.1467457844417,64,higher,0,civil marriage,1,F,companion,0,186408.7418299351,wedding
1,-2471.5485518184228,49,average,1,married,0,M,companion,0,339517.3610727709,construction of your own real estate
0,-5229.55206892918,43,HIGHER,0,Single/not married,4,F,employee,0,203279.59982532423,residential real estate construction
0,379035.9206190428,67,average,1,divorced,3,F,pensioner,0,112331.78706716756,car deal
0,361010.32134996407,61,average,1,civil marriage,1,M,pensioner,0,103644.93254718713,automobile
0,-897.3228055367267,42,average,1,married,0,F,companion,0,95845.74470717036,operations with your real estate
0,-639.5647075616622,58,average,1,married,0,M,employee,0,73637.58619017908,obtaining additional education
1,-1306.4284560155902,45,average,1,married,0,M,employee,0,246227.992541382,automobile
0,344507.39278483123,64,average,1,married,0,F,pensioner,0,79047.6530585805,education
1,-4171.107677064886,46,INCOMPLETE HIGHER EDUCATION,2,divorced,3,F,employee,0,166015.79050422882,purchase of residential property
0,,27,average,1,married,0,M,companion,0,,housing
0,357880.1593788016,60,initial,3,married,0,M,pensioner,0,113124.20278145476,operations with your real estate
1,-1910.0375923185568,28,higher,0,civil marriage,1,M,employee,0,269423.96295991854,get married
0,-2572.053172717263,43,average,1,married,0,F,civil servant,0,119827.6542453248,buying your own home
0,-1765.5573866944574,29,incomplete higher education,2,married,0,M,companion,0,196932.0772890144,home renovation
0,-3017.782065456124,24,average,1,civil marriage,1,F,employee,0,102110.98914883527,purchase of commercial real estate
0,,39,average,1,civil marriage,1,M,employee,0,,wedding
0,347947.8355073804,54,average,1,married,0,F,pensioner,0,108280.64485742812,used car deal
0,-1893.2998286398856,48,average,1,widower/widow,2,F,employee,0,151069.43847035486,construction of your own real estate
1,-2105.382664335544,45,average,1,civil marriage,1,F,employee,0,284248.0832952967,your car
0,,62,average,1,married,0,M,pensioner,0,,real estate construction
0,-1302.0260419746796,46,average,1,married,0,F,employee,0,98709.73054718717,home purchase
0,-5772.479895574409,47,average,1,married,0,F,civil servant,1,74535.09733065074,real estate transactions
0,-5050.292839852283,37,average,1,married,0,F,employee,0,145159.21497712686,to buy your car
0,-2664.273168317157,0,average,1,divorced,3,F,employee,0,70176.43595051017,housing transactions
0,393711.519922678,71,average,1,civil marriage,1,F,pensioner,0,174088.29322065786,get married
0,-896.462371368615,37,higher,0,civil marriage,1,F,companion,0,463089.9792084557,get married
1,-3597.776387865821,39,average,1,married,0,F,companion,0,40891.12824378687,buying your own home
1,-132.74853603066168,20,average,1,married,0,M,companion,1,134750.74951489054,housing
1,-1803.9306052678608,41,higher,0,widower/widow,2,F,employee,0,143113.3292930616,commercial real estate transactions
0,-1208.5961786776136,40,average,1,married,0,F,companion,0,70788.33944690305,additional education
0,362366.8571652186,65,Average,1,married,0,M,pensioner,0,261291.0364533132,obtaining additional education
0,348414.02800940943,38,average,1,married,0,F,pensioner,1,113560.65003534064,car deal
0,-11001.589092067064,56,average,1,married,0,F,employee,0,80547.23925773834,education
0,371052.6968127112,59,average,1,Single/not married,4,F,pensioner,0,149542.8588742301,to buy your car
0,-2063.2234729922893,45,average,1,civil marriage,1,M,employee,0,198386.798958856,buying a rental property
1,-1147.591637441718,39,higher,0,married,0,F,employee,0,87107.11820547588,purchasing a car
0,-3755.843042173655,62,average,1,married,0,M,employee,0,66577.61712641187,obtaining additional education
0,-7473.902957321618,50,average,1,married,0,M,employee,0,78975.57711163633,home renovation
2,-2357.523213608679,27,higher,0,married,0,F,employee,1,369587.0876962028,to buy your car
2,-1268.8706856224185,32,higher,0,married,0,M,civil servant,0,228289.248361869,home purchase
0,-450.0613423824006,38,Average,1,civil marriage,1,M,employee,0,144073.71137831223,housing transactions
0,-7219.276087439847,56,average,1,civil marriage,1,F,civil servant,0,220719.05505659032,for a wedding
0,361970.2205052443,67,average,1,widower/widow,2,F,pensioner,0,139038.94464450798,buying your own home
0,372110.89295327937,58,average,1,civil marriage,1,F,pensioner,0,167861.70077631506,purchasing a car
0,-182.2267232528777,28,higher,0,Single/not married,4,M,employee,0,121721.8927765662,housing
0,-9566.241471478188,60,average,1,civil marriage,1,F,companion,0,225197.795335085,for a wedding
0,-4652.167869366604,49,average,1,married,0,F,employee,0,182980.1156033612,real estate construction
0,-9099.945304784307,49,average,1,married,0,M,companion,0,416461.874680372,purchase of commercial real estate
0,,55,higher,0,widower/widow,2,F,companion,0,,your car
2,-1734.7410117276208,38,average,1,married,0,F,employee,0,141210.68421368927,real estate construction
0,364178.2549302824,60,average,1,married,0,F,pensioner,0,104621.06741141542,pursue higher education
2,-2109.314690632105,48,average,1,married,0,M,civil servant,0,173074.19294233265,used car deal
